Status,Reason,URL
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/radial.jpg
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/port-ex.jpg
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/commquilt.png
failed,missing_url,
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/Instagram.png
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/bowl.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/kiln.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/circles.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/circles2.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/flower.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/decode3.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/rects.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/para2.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/para1.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/lights.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/Comp%201.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/Comp%201_1.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/ball.mp4
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/cover.png
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/Screenshot%202025-04-05%20at%201.16.49%E2%80%AFPM.png
failed,503,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/AEpromoS25_final.mp4
